citi_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
846,lyantonde,0,UG,1566952880,81,-0.41,31.15,291.6,1.83
847,nedjo,100,ET,1566952880,84,9.5,35.5,286.2,0.43
848,ringkobing,75,DK,1566952880,94,56.09,8.24,294.26,3.1
849,hami,33,CN,1566952880,18,42.84,93.51,297.9,0.19
850,namatanai,90,PG,1566952880,87,-3.66,152.44,299.3,5.09
851,dunedin,51,NZ,1566952675,73,-45.87,170.5,283.4,1.07
852,gelibolu,0,TR,1566952881,71,40.41,26.67,297.0,7.8
853,barrow,96,AR,1566952881,80,-38.31,-60.23,291.0,7.52
854,houston,1,US,1566952615,70,29.76,-95.37,305.15,2.6
855,ryotsu,90,JP,1566952881,100,38.08,138.43,296.15,1.0
856,jamestown,53,AU,1566952717,82,-33.21,138.6,282.3,3.47
857,margate,75,AU,1566952881,70,-43.03,147.26,282.59,6.2
858,san patricio,0,PY,1566952881,77,-26.98,-56.83,292.4,2.4
859,shobara,75,JP,1566952881,88,34.92,133.05,298.15,3.6
860,mareeba,40,AU,1566952881,57,-16.99,145.42,300.93,6.7
861,surt,0,LY,1566952675,79,31.21,16.59,299.8,5.08
862,kraskino,100,RU,1566952882,98,42.71,130.78,290.6,1.47
863,kruisfontein,0,ZA,1566952882,84,-34.0,24.73,281.5,4.83
864,coxim,98,BR,1566952882,62,-18.5,-54.75,296.2,2.54
865,bambous virieux,40,MU,1566952694,60,-20.34,57.76,295.15,7.2
866,gat,40,SN,1566952882,83,14.69,-16.54,301.15,1.0
867,guanay,60,BO,1566952882,91,-15.5,-67.88,291.4,0.84
868,merauke,62,ID,1566952882,80,-8.49,140.4,297.8,9.64
869,dingle,100,PH,1566952601,95,11.0,122.67,296.9,4.12
870,putyatino,7,RU,1566952882,92,54.16,41.12,283.0,4.04
871,severo-kurilsk,44,RU,1566952883,95,50.68,156.12,282.2,4.65
872,hilo,1,US,1566952883,52,19.71,-155.08,304.15,4.6
873,souillac,16,FR,1566952883,93,45.6,-0.6,292.15,2.6
874,norman wells,75,CA,1566952883,37,65.28,-126.83,293.15,1.5
875,forssa,0,FI,1566952883,93,60.82,23.63,287.59,1.0
876,osmena,100,PH,1566952883,81,12.17,124.59,300.7,6.54
877,dese,0,IT,1566952883,78,45.53,12.3,297.59,3.1
878,xapuri,93,BR,1566952883,87,-10.65,-68.5,296.1,1.06
879,puerto ayora,20,EC,1566952884,69,-0.74,-90.35,297.15,7.7
880,panshi,23,CN,1566952884,90,42.94,126.05,291.0,2.27
881,kaitangata,88,NZ,1566952884,37,-46.28,169.85,288.15,4.02
882,kaohsiung,75,TW,1566952884,83,22.62,120.31,303.15,1.5
883,sochaczew,0,PL,1566952884,77,52.23,20.24,297.04,4.1
884,darhan,54,MN,1566952884,76,49.49,105.92,285.5,1.5
885,albany,90,US,1566952884,60,42.65,-73.75,295.37,5.1
886,zanesville,70,US,1566952885,94,39.94,-82.01,296.15,3.47
887,sevsk,16,RU,1566952885,94,52.15,34.49,286.3,1.66
888,wanning,1,AT,1566952885,82,48.64,13.53,292.59,1.0
889,middle island,1,US,1566952885,68,40.88,-72.94,294.15,1.5
890,stephenville,75,CA,1566952763,82,48.55,-58.59,290.15,4.1
891,kuusamo,0,FI,1566952665,100,65.96,29.19,283.15,0.5
892,riyadh,0,SA,1566952885,23,24.63,46.72,302.15,1.5
893,sola,16,TZ,1566952885,82,-3.17,33.8,291.8,2.21
894,ahipara,99,NZ,1566952885,82,-35.17,173.16,290.93,3.02
